City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
311,Banda Aceh,ID,80.2,light rain,5.5577,95.3222,Sulthan Hotel International
323,Kolokani,ML,87.26,overcast clouds,13.5728,-8.0339,Lycee Famolo Coulibalibali De Kolokani
324,Kindu,CD,83.3,broken clouds,-2.95,25.95,Résidence Okanda
326,San Rafael Del Sur,NI,85.17,overcast clouds,11.8485,-86.4384,Hospedaje El Chino
328,Karaton,ID,78.96,broken clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
332,Saint-Joseph,RE,76.48,broken clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
334,Bengkulu,ID,77.02,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
335,Sinnamary,GF,82.42,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
336,Nambucca Heads,AU,70.16,clear sky,-30.65,153.0,Marcel Towers Holiday Apartments
340,Abha,SA,71.85,clear sky,18.2164,42.5053,Abha Hotel
341,Mbandaka,CD,78.15,moderate rain,0.0487,18.2603,Guest House Epervier
350,Pandharpur,IN,82.65,scattered clouds,17.6667,75.3333,Pandharinath Lodge and Restaurant
351,Dera Bugti,PK,75.92,clear sky,29.0307,69.151,Nawab Bugti House
356,Byron Bay,AU,73.29,clear sky,-28.65,153.6167,Backpackers Inn on the Beach
358,Lufilufi,WS,74.98,overcast clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
360,Nizwa,OM,85.73,few clouds,22.9333,57.5333,Orient Apartments
361,Kavieng,PG,82.71,light rain,-2.5744,150.7967,Nusa Island Retreat
362,Tamandare,BR,84.81,overcast clouds,-8.7597,-35.1047,Pousada 100 Passos
365,Cianorte,BR,79.39,overcast clouds,-23.6633,-52.605,Hotel Cianorte Diamond
366,Mana,GF,81.73,overcast clouds,5.6592,-53.7767,LE SAMANA
367,Sakakah,SA,85.57,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
369,Alyangula,AU,80.47,few clouds,-13.8483,136.4192,Groote Eylandt Lodge
370,Dingle,PH,74.98,light rain,10.9995,122.6711,SEGAYA PROPERTY
375,Una,IN,76.35,clear sky,20.8167,71.0333,Hotel Harbhole
379,Lorengau,PG,80.89,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
380,Cayenne,GF,86.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
381,Ixtapa,MX,84.22,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
386,Kiunga,PG,74.21,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
391,Cumberland,US,71.49,clear sky,35.0502,-78.8664,American Eagle Inn
392,Sola,VU,81.0,few clouds,-13.8833,167.55,Leumerus Bungalows
398,Quelimane,MZ,84.15,clear sky,-17.8786,36.8883,Hotel Flamingo
400,Bucerias,MX,84.97,scattered clouds,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
404,Harper,LR,80.04,light rain,4.375,-7.7169,Screensaver
409,Lakatoro,VU,78.51,broken clouds,-16.0999,167.4164,Lakatoro Palm Lodge
411,Katherine,AU,84.52,light rain,-14.4667,132.2667,Pine Tree Motel
417,Tupaciguara,BR,86.45,clear sky,-18.5922,-48.705,Hotel Tupaciguara
420,Inhambane,MZ,76.98,few clouds,-23.865,35.3833,Oceano
422,Emilio Carranza,MX,79.59,scattered clouds,19.9711,-96.6114,casa carranza
426,Touros,BR,88.7,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
431,Otatitlan,MX,75.76,overcast clouds,18.2,-96.0333,JESUS URUETA
432,Kulhudhuffushi,MV,81.41,moderate rain,6.6221,73.07,Haajy Guest House 1
435,Hervey Bay,AU,77.04,scattered clouds,-25.2986,152.8535,Shelly Bay Resort
437,Mahibadhoo,MV,83.26,scattered clouds,3.7833,72.9667,Omadhoo Inn
440,Makakilo City,US,75.52,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
444,Palauig,PH,80.6,light rain,15.435,119.9045,Alperi Botique Resort
445,Punta De Piedra,VE,79.09,broken clouds,7.6176,-71.4916,Casa 7 Punta de Piedra
446,Nabire,ID,76.37,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
447,Nosy Varika,MG,77.04,broken clouds,-20.5833,48.5333,Hotel Volazara
448,Torre Del Campo,ES,72.37,clear sky,37.7705,-3.8973,Hotel Torrezaf
449,Limbang,MY,78.91,overcast clouds,4.75,115.0,Purnama Hotel
451,Samana,DO,85.96,few clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
453,Cabo San Lucas,MX,75.61,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
454,Tomatlan,MX,77.72,overcast clouds,19.9333,-105.25,El Salvial
455,Anloga,GH,80.47,moderate rain,5.7947,0.8973,Pin Drop Hotel
458,Zabid,YE,87.98,broken clouds,14.1951,43.3152,دار الضيافة
460,Mattru,SL,83.1,moderate rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
461,Santa Ines,BR,86.63,overcast clouds,-3.6667,-45.38,Palace hotel
462,Rosita,NI,82.9,broken clouds,13.9268,-84.4032,Hospedaje Zeledón
463,El Paso,US,72.01,few clouds,31.8001,-106.2005,Desert Oasis Park MHP
466,Saint-Leu,RE,76.96,broken clouds,-21.15,55.2833,La Caz Oceane
467,Marrakesh,MA,80.67,clear sky,31.6315,-8.0083,Novotel Marrakech Hivernage
468,Poum,NC,74.08,clear sky,-20.2333,164.0167,Gîte kajeon
469,Oranjestad,AW,89.55,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
472,Chirongui,YT,80.53,clear sky,-12.9319,45.1483,La Villa Mahatsara
473,Tiarei,PF,73.42,moderate rain,-17.5333,-149.3333,Le Rocher de Tahiti
479,Paita,PE,72.16,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
480,Menongue,AO,89.11,scattered clouds,-14.6585,17.691,Ritz Lauca
483,Calabozo,VE,89.6,clear sky,8.9242,-67.4293,Hotel Giardini
484,Sharjah,AE,88.09,clear sky,25.3573,55.4033,Swiss Belhotel Sharjah
486,Ambilobe,MG,80.49,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
489,Puebloviejo,CO,87.49,scattered clouds,10.9938,-74.2844,The Journey Hostel
490,Udalguri,IN,71.08,clear sky,26.7667,92.1333,"Army Camp, Golandi"
492,Madang,PG,76.19,broken clouds,-5.2246,145.7966,Comfort Inn Hotel
494,Bushehr,IR,84.22,clear sky,28.9684,50.8385,Yas Hotel
495,Kavaratti,IN,82.17,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
498,Bontang,ID,78.31,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
502,Ambulu,ID,77.92,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
507,Picayune,US,78.78,clear sky,30.5255,-89.6795,Holiday Inn Express & Suites Picayune
513,Buri,BR,84.25,scattered clouds,-23.7975,-48.5928,Hotel Aro
514,Vilhena,BR,84.42,scattered clouds,-12.7406,-60.1458,Hotel Mirage
516,Luanda,AO,82.4,few clouds,-8.8368,13.2343,Hotel Fórum
517,Yanam,IN,82.8,light rain,16.7333,82.2167,The Regency Hotel
519,Hobyo,SO,80.64,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
522,Auki,SB,75.47,clear sky,-8.7676,160.7034,Auki Motel
523,Mizdah,LY,88.16,overcast clouds,31.4451,12.9801,محمدالمبروك الاريقط
526,Cockburn Town,TC,83.34,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
528,Gambela,ET,83.77,scattered clouds,8.25,34.5833,Solomon Debebe Hotel
530,Abnub,EG,81.59,few clouds,27.2696,31.1511,Romany Adly Gad
531,Ternate,ID,81.09,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
542,Kota Kinabalu,MY,76.98,few clouds,5.9749,116.0724,Gaya Centre Hotel
543,Rabo De Peixe,PT,71.11,few clouds,37.8,-25.5833,Quinta das Giestas
546,Formosa,AR,75.18,light rain,-26.1775,-58.1781,Hotel Portal del Sol
547,Kununurra,AU,82.38,clear sky,-15.7667,128.7333,Hotel Kununurra
548,Nhulunbuy,AU,83.01,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
549,Ballina,AU,73.36,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
551,Alacranes,CU,82.89,overcast clouds,22.7675,-81.5675,Hotel Union de Reyes
553,Coahuayana,MX,81.88,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
554,Casa Nova,BR,89.58,scattered clouds,-9.4167,-41.1333,Pousada e Restaurante Dona Xinha
555,Det Udom,TH,73.22,overcast clouds,14.906,105.0784,Chatsuda Resort
558,Nador,MA,71.67,few clouds,35.174,-2.9287,Hôtel La Giralda
559,Praia Da Vitoria,PT,72.75,scattered clouds,38.7333,-27.0667,Hotel Branco I
561,Sorong,ID,80.71,heavy intensity rain,-0.8833,131.25,waigo splash hotel
562,Gizo,SB,82.11,few clouds,-8.103,156.8419,Imagination Island
564,Galle,LK,80.92,few clouds,6.0367,80.217,Amangalla
570,Port Blair,IN,80.92,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
572,Mayumba,GA,79.63,broken clouds,-3.432,10.6554,LIKWALE LODGE
574,Villarrica,PY,72.63,overcast clouds,-25.75,-56.4333,Mansión Reljuv Tours SA
577,Wanning,CN,70.66,overcast clouds,18.8003,110.3967,Paradise Hotel
578,Fare,PF,75.16,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
580,Padang,ID,77.05,broken clouds,-0.9492,100.3543,Mercure Padang
582,Ampanihy,MG,79.66,clear sky,-24.7,44.75,Angora Hotel
587,Nishihara,JP,72.68,broken clouds,26.1842,127.7558,Minshuku Agaihama
588,Lindi,TZ,79.25,clear sky,-10.0,39.7167,Lindi paradise house
590,Trairi,BR,89.13,broken clouds,-3.2778,-39.2689,janelas do mar
592,Lukang,TW,79.43,scattered clouds,24.0567,120.4352,二鹿行館 Lu Kang Bed and Breakbast
596,Sao Joao Da Barra,BR,80.69,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
598,Mehran,IR,78.28,clear sky,33.1222,46.1646,بوتیک زنانه بهار
604,Sompeta,IN,78.26,few clouds,18.9333,84.6,Netaji's Home
608,Arenys De Mar,ES,73.49,broken clouds,41.5819,2.5494,Hotel Mitus
611,Carcassonne,FR,70.68,clear sky,43.25,2.1667,Domaine les Magasins
612,Nargana,PA,82.47,overcast clouds,9.4428,-78.5906,Dubbir
613,Omboue,GA,79.0,overcast clouds,-1.5746,9.2618,Hotel Olako
616,Camacha,PT,71.53,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
623,Aljezur,PT,71.29,few clouds,37.3191,-8.8033,Amazigh Hostel
633,Sechura,PE,70.16,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
638,Mitsamiouli,KM,79.7,clear sky,-11.3847,43.2844,Foyer ADM
640,Karratha,AU,81.36,broken clouds,-20.7377,116.8463,ibis Styles Karratha
