City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
139,Sandur,IN,2021-10-20 14:24:14,15.1,76.55,78.49,70,100,3.42
140,Horsham,GB,2021-10-20 14:19:36,51.064,-0.3272,64.74,71,20,16.11
141,Ust-Nera,RU,2021-10-20 14:24:15,64.5667,143.2,2.16,98,99,3.33
142,Narsaq,GL,2021-10-20 14:24:15,60.9167,-46.05,32.22,31,0,3.74
143,Katsuura,JP,2021-10-20 14:24:15,35.1333,140.3,59.18,52,44,14.56
144,Fortuna,US,2021-10-20 14:24:16,40.5982,-124.1573,55.74,75,75,4.0
145,Buala,SB,2021-10-20 14:24:16,-8.145,159.5921,79.68,80,63,1.01
146,Corinto,GR,2021-10-20 14:24:16,37.9407,22.9573,69.91,46,0,3.33
147,Tiksi,RU,2021-10-20 14:24:17,71.6872,128.8694,13.68,94,100,7.45
148,Japura,ID,2021-10-20 14:24:17,-0.3167,102.35,73.2,99,89,2.53
149,Maua,BR,2021-10-20 14:24:17,-23.6678,-46.4614,62.4,90,100,6.58
150,Hithadhoo,MV,2021-10-20 14:24:18,-0.6,73.0833,82.74,75,32,11.59
151,Clyde River,CA,2021-10-20 14:24:18,70.4692,-68.5914,28.63,93,75,5.75
152,Ola,RU,2021-10-20 14:24:18,59.5833,151.2833,15.28,49,0,6.08
153,Saint George,US,2021-10-20 14:24:18,37.1041,-113.5841,55.54,70,1,0.0
154,Mazamari,PE,2021-10-20 14:24:19,-11.3258,-74.5308,73.78,93,97,2.86
155,Karratha,AU,2021-10-20 14:24:19,-20.7377,116.8463,77.36,40,0,14.23
156,Takaka,NZ,2021-10-20 14:24:19,-40.85,172.8,52.56,88,100,2.44
157,Mareeba,AU,2021-10-20 14:24:20,-17.0,145.4333,75.92,90,73,0.56
158,Makakilo City,US,2021-10-20 14:24:20,21.3469,-158.0858,72.28,78,1,3.44
159,Lebu,CL,2021-10-20 14:24:20,-37.6167,-73.65,55.69,81,100,5.95
160,Beira,MZ,2021-10-20 14:24:21,-19.8436,34.8389,77.09,65,75,14.97
161,Boulsa,BF,2021-10-20 14:24:21,12.6675,-0.5758,96.1,33,71,2.15
162,Salalah,OM,2021-10-20 14:24:21,17.0151,54.0924,80.69,74,20,10.36
163,Vila Franca Do Campo,PT,2021-10-20 14:24:22,37.7167,-25.4333,70.21,64,90,2.57
164,Pitimbu,BR,2021-10-20 14:19:53,-7.4706,-34.8086,86.59,66,8,13.15
165,Gazanjyk,TM,2021-10-20 14:24:22,39.2446,55.5154,64.63,58,100,10.49
166,Sechura,PE,2021-10-20 14:24:22,-5.5569,-80.8222,69.89,72,95,9.86
167,Copainala,MX,2021-10-20 14:24:23,17.0833,-93.2,72.86,97,98,1.07
168,Shimoda,JP,2021-10-20 14:24:23,34.6667,138.95,60.71,67,81,10.38
169,Najran,SA,2021-10-20 14:24:23,17.4924,44.1277,84.85,16,45,16.69
170,Pangai,TO,2021-10-20 14:24:23,-19.8,-174.35,74.82,67,95,18.63
171,Sitka,US,2021-10-20 14:24:24,57.0531,-135.33,53.49,50,75,17.27
172,Quatre Cocos,MU,2021-10-20 14:24:24,-20.2078,57.7625,75.31,68,8,12.3
173,Yar-Sale,RU,2021-10-20 14:24:24,66.8333,70.8333,31.89,88,65,8.57
174,Dunedin,NZ,2021-10-20 14:24:25,-45.8742,170.5036,48.79,75,100,1.9
175,Port Blair,IN,2021-10-20 14:24:25,11.6667,92.75,81.66,81,3,5.53
176,Santa Maria Del Rio,MX,2021-10-20 14:24:25,21.8,-100.75,53.04,76,62,1.28
